"state","msr_cd","scr","footnote"
"AK","HAI_1_SIR","0.46",""
"AL","HAI_1_SIR","0.66",""
"AR","HAI_1_SIR","0.45",""
"AZ","HAI_1_SIR","0.55",""
"CA","HAI_1_SIR","0.50",""
"CO","HAI_1_SIR","0.46",""
"CT","HAI_1_SIR","0.59",""
"DC","HAI_1_SIR","0.65",""
"DE","HAI_1_SIR","0.58",""
"FL","HAI_1_SIR","0.56",""
"GA","HAI_1_SIR","0.74",""
"HI","HAI_1_SIR","0.15",""
"IA","HAI_1_SIR","0.50",""
"ID","HAI_1_SIR","0.32",""
"IL","HAI_1_SIR","0.63",""
"IN","HAI_1_SIR","0.49",""
"KS","HAI_1_SIR","0.40",""
"KY","HAI_1_SIR","0.75",""
"LA","HAI_1_SIR","0.70",""
"MA","HAI_1_SIR","0.52",""
"MD","HAI_1_SIR","0.63",""
"ME","HAI_1_SIR","1.02",""
"MI","HAI_1_SIR","0.37",""
"MN","HAI_1_SIR","0.41",""
"MO","HAI_1_SIR","0.46",""
"MS","HAI_1_SIR","0.72",""
"MT","HAI_1_SIR","0.45",""
"NC","HAI_1_SIR","0.47",""
"ND","HAI_1_SIR","0.28",""
"NE","HAI_1_SIR","0.61",""
"NH","HAI_1_SIR","0.56",""
"NJ","HAI_1_SIR","0.72",""
"NM","HAI_1_SIR","0.50",""
"NV","HAI_1_SIR","0.46",""
"NY","HAI_1_SIR","0.67",""
"OH","HAI_1_SIR","0.45",""
"OK","HAI_1_SIR","0.54",""
"OR","HAI_1_SIR","0.37",""
"PA","HAI_1_SIR","0.48",""
"PR","HAI_1_SIR","1.55",""
"RI","HAI_1_SIR","0.78",""
"SC","HAI_1_SIR","0.73",""
"SD","HAI_1_SIR","0.33",""
"TN","HAI_1_SIR","0.64",""
"TX","HAI_1_SIR","0.53",""
"UT","HAI_1_SIR","0.68",""
"VA","HAI_1_SIR","0.58",""
"VI","HAI_1_SIR","Not Available","15"
"VT","HAI_1_SIR","0.13",""
"WA","HAI_1_SIR","0.49",""
"WI","HAI_1_SIR","0.57",""
"WV","HAI_1_SIR","0.56",""
"WY","HAI_1_SIR","0.24",""
"AK","HAI_2_SIR","1.34",""
"AL","HAI_2_SIR","0.67",""
"AR","HAI_2_SIR","1.41",""
"AZ","HAI_2_SIR","1.27",""
"CA","HAI_2_SIR","1.01",""
"CO","HAI_2_SIR","1.13",""
"CT","HAI_2_SIR","1.58",""
"DC","HAI_2_SIR","1.52",""
"DE","HAI_2_SIR","0.99",""
"FL","HAI_2_SIR","0.74",""
"GA","HAI_2_SIR","0.98",""
"HI","HAI_2_SIR","1.16",""
"IA","HAI_2_SIR","1.06",""
"ID","HAI_2_SIR","0.53",""
"IL","HAI_2_SIR","1.11",""
"IN","HAI_2_SIR","0.96",""
"KS","HAI_2_SIR","0.92",""
"KY","HAI_2_SIR","0.91",""
"LA","HAI_2_SIR","0.85",""
"MA","HAI_2_SIR","1.61",""
"MD","HAI_2_SIR","2.43",""
"ME","HAI_2_SIR","2.46",""
"MI","HAI_2_SIR","0.96",""
"MN","HAI_2_SIR","1.30",""
"MO","HAI_2_SIR","0.86",""
"MS","HAI_2_SIR","0.92",""
"MT","HAI_2_SIR","1.39",""
"NC","HAI_2_SIR","0.90",""
"ND","HAI_2_SIR","1.01",""
"NE","HAI_2_SIR","1.74",""
"NH","HAI_2_SIR","1.94",""
"NJ","HAI_2_SIR","0.76",""
"NM","HAI_2_SIR","0.88",""
"NV","HAI_2_SIR","0.99",""
"NY","HAI_2_SIR","1.46",""
"OH","HAI_2_SIR","0.86",""
"OK","HAI_2_SIR","0.63",""
"OR","HAI_2_SIR","1.26",""
"PA","HAI_2_SIR","0.80",""
"PR","HAI_2_SIR","1.20",""
"RI","HAI_2_SIR","1.28",""
"SC","HAI_2_SIR","1.52",""
"SD","HAI_2_SIR","1.01",""
"TN","HAI_2_SIR","1.39",""
"TX","HAI_2_SIR","0.90",""
"UT","HAI_2_SIR","1.49",""
"VA","HAI_2_SIR","0.73",""
"VI","HAI_2_SIR","Not Available",""
"VT","HAI_2_SIR","1.14",""
"WA","HAI_2_SIR","1.10",""
"WI","HAI_2_SIR","1.01",""
"WV","HAI_2_SIR","0.74",""
"WY","HAI_2_SIR","0.37",""
"AK","HAI_3_SIR","1.19",""
"AL","HAI_3_SIR","0.67",""
"AR","HAI_3_SIR","0.92",""
"AZ","HAI_3_SIR","1.01",""
"CA","HAI_3_SIR","0.80",""
"CO","HAI_3_SIR","0.71",""
"CT","HAI_3_SIR","1.23",""
"DC","HAI_3_SIR","0.12",""
"DE","HAI_3_SIR","0.37",""
"FL","HAI_3_SIR","0.74",""
"GA","HAI_3_SIR","0.71",""
"HI","HAI_3_SIR","0.54",""
"IA","HAI_3_SIR","1.17",""
"ID","HAI_3_SIR","1.33",""
"IL","HAI_3_SIR","0.60",""
"IN","HAI_3_SIR","1.13",""
"KS","HAI_3_SIR","1.16",""
"KY","HAI_3_SIR","0.96",""
"LA","HAI_3_SIR","1.15",""
"MA","HAI_3_SIR","0.82",""
"MD","HAI_3_SIR","1.18",""
"ME","HAI_3_SIR","0.90",""
"MI","HAI_3_SIR","0.97",""
"MN","HAI_3_SIR","0.71",""
"MO","HAI_3_SIR","0.69",""
"MS","HAI_3_SIR","0.69",""
"MT","HAI_3_SIR","0.73",""
"NC","HAI_3_SIR","0.88",""
"ND","HAI_3_SIR","1.37",""
"NE","HAI_3_SIR","1.09",""
"NH","HAI_3_SIR","0.86",""
"NJ","HAI_3_SIR","0.63",""
"NM","HAI_3_SIR","0.79",""
"NV","HAI_3_SIR","1.31",""
"NY","HAI_3_SIR","0.85",""
"OH","HAI_3_SIR","0.88",""
"OK","HAI_3_SIR","0.62",""
"OR","HAI_3_SIR","0.67",""
