"prvdr_id","msr_cd","scr","footnote"
"AK","IMM_2","78",""
"AK","IMM_1a","82",""
"AL","IMM_2","84",""
"AL","IMM_1a","86",""
"AR","IMM_2","83",""
"AR","IMM_1a","84",""
"AS","IMM_2","Not Available",""
"AS","IMM_1a","Not Available",""
"AZ","IMM_2","86",""
"AZ","IMM_1a","89",""
"CA","IMM_2","82",""
"CA","IMM_1a","87",""
"CO","IMM_2","88",""
"CO","IMM_1a","88",""
"CT","IMM_2","82",""
"CT","IMM_1a","85",""
"DC","IMM_2","81",""
"DC","IMM_1a","82",""
"DE","IMM_2","93",""
"DE","IMM_1a","94",""
"FL","IMM_2","90",""
"FL","IMM_1a","92",""
"GA","IMM_2","86",""
"GA","IMM_1a","88",""
"GU","IMM_2","Not Available",""
"GU","IMM_1a","Not Available",""
"HI","IMM_2","75",""
"HI","IMM_1a","79",""
"IA","IMM_2","85",""
"IA","IMM_1a","87",""
"ID","IMM_2","82",""
"ID","IMM_1a","86",""
"IL","IMM_2","88",""
"IL","IMM_1a","90",""
"IN","IMM_2","87",""
"IN","IMM_1a","88",""
"KS","IMM_2","84",""
"KS","IMM_1a","85",""
"KY","IMM_2","87",""
"KY","IMM_1a","91",""
"LA","IMM_2","79",""
"LA","IMM_1a","83",""
"MA","IMM_2","88",""
"MA","IMM_1a","90",""
"MD","IMM_2","91",""
"MD","IMM_1a","90",""
"ME","IMM_2","92",""
"ME","IMM_1a","92",""
"MI","IMM_2","87",""
"MI","IMM_1a","88",""
"MN","IMM_2","86",""
"MN","IMM_1a","86",""
"MO","IMM_2","89",""
"MO","IMM_1a","89",""
"MP","IMM_2","Not Available",""
"MP","IMM_1a","Not Available",""
"MS","IMM_2","80",""
"MS","IMM_1a","85",""
"MT","IMM_2","86",""
"MT","IMM_1a","87",""
"NC","IMM_2","90",""
"NC","IMM_1a","91",""
"ND","IMM_2","84",""
"ND","IMM_1a","85",""
"NE","IMM_2","86",""
"NE","IMM_1a","86",""
"NH","IMM_2","91",""
"NH","IMM_1a","90",""
"NJ","IMM_2","88",""
"NJ","IMM_1a","90",""
"NM","IMM_2","84",""
"NM","IMM_1a","88",""
"NV","IMM_2","87",""
"NV","IMM_1a","90",""
"NY","IMM_2","84",""
"NY","IMM_1a","85",""
"OH","IMM_2","92",""
"OH","IMM_1a","93",""
"OK","IMM_2","87",""
"OK","IMM_1a","88",""
"OR","IMM_2","81",""
"OR","IMM_1a","86",""
"PA","IMM_2","86",""
"PA","IMM_1a","87",""
"PR","IMM_2","39",""
"PR","IMM_1a","29",""
"RI","IMM_2","87",""
"RI","IMM_1a","82",""
"SC","IMM_2","91",""
"SC","IMM_1a","93",""
"SD","IMM_2","75",""
"SD","IMM_1a","76",""
"TN","IMM_2","86",""
"TN","IMM_1a","88",""
"TX","IMM_2","84",""
"TX","IMM_1a","88",""
"UT","IMM_2","91",""
"UT","IMM_1a","88",""
"VA","IMM_2","88",""
"VA","IMM_1a","90",""
"VI","IMM_2","64",""
"VI","IMM_1a","75",""
"VT","IMM_2","88",""
"VT","IMM_1a","92",""
"WA","IMM_2","85",""
"WA","IMM_1a","89",""
"WI","IMM_2","85",""
"WI","IMM_1a","87",""
"WV","IMM_2","92",""
"WV","IMM_1a","93",""
"WY","IMM_2","81",""
"WY","IMM_1a","86",""
